0,10000000000
0.5,10000138889.57562
1,10000555570.71015
1.5,10001250078.12826
2,10002222468.87625
2.5,10003472824.83048
3,10005001250.20836
3.5,10006807871.58234
4,10008892840.39896
4.5,10011256330.49872
5,10013898538.13931
5.5,10016819684.52608
6,10020020013.34001
6.5,10023499790.77043
7,10027259308.0574
7.5,10031298879.02739
8,10035618840.13538
8.5,10040219553.01994
9,10045101402.04601
9.5,10050264794.35652
10,10055710162.44085
10.5,10061437961.68415
11,10067448670.42857
11.5,10073742792.55587
12,10080320855.04273
12.5,10087183408.03172
13,10094331027.42876
13.5,10101764312.46399
14,10109483885.7725
14.5,10117490396.00754
15,10125784515.40634
15.5,10134366939.88084
16,10143238391.64737
16.5,10152399616.79697
17,10161851385.3963
17.5,10171594494.13456
18,10181629763.89793
18.5,10191958039.88073
19,10202580194.25053
19.5,10213497123.72613
20,10224709749.69931
20.5,10236219020.91892
21,10248025911.07199
21.5,10260131418.91625
22,10272536570.98411
22.5,10285242419.16654
23,10298250040.85648
23.5,10311560541.67376
24,10325175053.05118
24.5,10339094732.38929
25,10353320765.80295
25.5,10367854365.70946
26,10382696770.99475
26.5,10397849249.78278
27,10413313097.02517
27.5,10429089634.67919
28,10445180214.50101
28.5,10461586215.63637
29,10478309044.81088
29.5,10495350139.14791
30,10512710963.76022
30.5,10530393011.95265
31,10548397808.06598
31.5,10566726905.06894
32,10585381884.77387
32.5,10604364360.70753
33,10623675975.70322
33.5,10643318402.12978
34,10663293344.79048
34.5,10683602538.51505
35,10704247748.40226
35.5,10725230772.74827
36,10746553440.63809
36.5,10768217612.20239
37,10790225181.57634
37.5,10812578074.49034
38,10835278248.54148
38.5,10858327696.1842
39,10881728442.31997
39.5,10905482544.58393
40,10929592096.36865
40.5,10954059224.4126
41,10978886089.10237
41.5,11004074887.53101
42,11029627851.08497
42.5,11055547245.76258
43,11081835375.26826
43.5,11108494578.59775
44,11135527230.37347
44.5,11162935743.97604
45,11190722569.12765
45.5,11218890192.24486
46,11247441139.60899
46.5,11276377974.9474
47,11305703299.80451
47.5,11335419756.75248
48,11365530026.97038
48.5,11396036830.63397
49,11426942930.16852
49.5,11458251127.82547
50,11489964266.092
50.5,11522085230.98736
51,11554616949.63721
51.5,11587562390.70351
52,11620924567.7263
52.5,11654706536.69548
53,11688911396.50198
53.5,11723542292.32665
54,11758602413.20954
54.5,11794094992.52317
55,11830023311.41044
55.5,11866390696.35131
56,11903200519.65911
56.5,11940456202.96944
57,11978161214.80423
57.5,12016319071.09207
58,12054933338.71008
58.5,12094007633.0454
59,12133545618.54053
59.5,12173551012.29031
60,12214027581.60082
60.5,12254638733.88236
61,12295043382.55002
61.5,12335238598.36856
62,12375221460.99803
62.5,12414989056.25744
63,12454538479.55609
63.5,12493866836.2609
64,12532971238.93012
64.5,12571848810.77415
65,12610496686.02211
65.5,12648912007.12555
66,12687091928.24778
66.5,12725033615.62907
67,12762734244.76038
67.5,12800191003.90014
68,12837401094.43753
68.5,12874361728.03626
69,12911070130.17768
69.5,12947523540.52165
70,12983719210.02031
70.5,13019654404.48653
71,13055326404.95174
71.5,13090732504.74976
72,13125870013.10946
72.5,11424240056.91922
73,9670422339.847803
73.5,8185845865.028704
74,6929177462.073712
74.5,5865429314.523495
75,4964984838.673132
75.5,4202774106.784494
76,3557575857.045041
76.5,3011426657.02607
77,2549120770.731719
77.5,2157786804.674493
78,1826529346.073647
78.5,1546125615.765595
79,1308768690.119996
79.5,1107850142.816659
80,937776054.8553183
80.5,793811270.1995138
81,671947560.8630079
81.5,568792030.9272806
82,481472652.4654183
82.5,407558303.3295395
83,344991080.5158001
83.5,292029004.5942805
84,247197519.9962324
84.5,209248440.8430042
85,177125199.2976935
85.5,149933428.8936784
86,126916063.8291428
86.5,107432260.9489937
87,90939557.56578113
87.5,76978768.36257239
88,65161200.88149976
88.5,55157833.65512498
89,46690155.68112737
89.5,39522412.1954862
90,33455040.8531043
90.5,28319115.5678171
91,23971643.3187068
91.5,20291582.9776952
92,17176475.31570656
92.5,14539590.36095801
93,12307512.68691048
93.5,10418097.40013072
94,8818739.919240028
94.5,7464911.372610298
95,6318918.837752589
95.5,5348855.905323686
96,4527714.349642082
96.5,3832632.173087911
97,3244257.088645564
97.5,2746207.718844812
98,2324617.509949366
98.5,1967748.663176982
99,1665665.334130233
99.5,1409957.001746235
100,1193504.30487965
100.5,1010280.827005411
101,855185.3103853351
101.5,723899.6282515267
102,612768.5607071261
102.5,518698.0270980556
103,439068.9414694157
103.5,371664.2926938094
104,314607.4190565621
104.5,266309.7587557943
105,225426.6216011223
105.5,190819.7505187741
106,161525.6305108283
106.5,136728.6627353266
107,115738.4568273667
107.5,97970.60924021789
108,82930.43244231278
108.5,70199.18196288752
109,59422.3978234589
109.5,50300.03576047612
110,42578.11347535931
110.5,36041.63932911315
111,30508.62660417374
111.5,25825.02668021124
112,21860.44005476086
112.5,18504.48579609692
113,15663.72834765419
113.5,13259.07612092937
114,11223.57944920105
114.5,9500.566593300362
115,8042.065902617195
115.5,6807.470201582052
116,5762.406215838922
116.5,4877.77756098325
117,4128.954649020318
117.5,3495.088958142232
118,2958.53257391097
118.5,2504.346840872619
119,2119.886444615972
119.5,1794.447344402454
120,1518.968754204353
